fixture_id,event_name,team_id,team_scrummy_id,event_timestamp,x_position,y_position
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1695.230121850967,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,2,d9465fd5-2419-4973-932a-0d13642a41a6,1770.410111904144,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,2,d9465fd5-2419-4973-932a-0d13642a41a6,1770.411258935928,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Try,2,d9465fd5-2419-4973-932a-0d13642a41a6,1774.795179843903,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick At Goal Position,2,d9465fd5-2419-4973-932a-0d13642a41a6,1825.266794919968,39.24827291554418,15.97241379310344
0f0e347d-0a02-4efa-94b1-734bb4259152,Conversion,2,d9465fd5-2419-4973-932a-0d13642a41a6,1825.270169734955,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick-Off,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1852.140224933624,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,2,d9465fd5-2419-4973-932a-0d13642a41a6,1861.96931385994,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1895.738137722015,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Scrum Won,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1895.7420129776,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Held Up Over Line,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1928.297693729401,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Goal-Line Drop-Out,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1957.716711044312,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Catch,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1957.720458984375,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Kick,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1978.322335720062,,
0f0e347d-0a02-4efa-94b1-734bb4259152,Knock On,1,18bdeaa9-e0f5-4189-873d-fddc9f82d12d,1981.526342868805,,
